lacm,field,sex,laf,age,specnat,measure,gonads,wt,coll,datecoll,family,species,genus,spp,locality,state,county,ele,lat,lng,date,year,month,Description,abv,cty,cty2
7880,1191,M,NA,,SS,,,NA,"DAGGETT, F S",01 OCT 1894,Icteridae,Euphagus carolinus,Euphagus,carolinus,UNITED STATES MINNESOTA ST LOUIS CO NA DULUTH,MINNESOTA,ST LOUIS CO,,46.7832375,-92.1067886,1894-10-01,1894,10,study skin,MN,St Louis Co,St Louis County
81417,,M,NA,,SS,,TE,40,"KYONGO, J N AND J ITHIA",20-Feb-72,Pycnonotidae,Chlorocichla flaviventris,Chlorocichla,centralis,KENYA COAST PROV KWALE DIST NA LUNGA LUNGA,COAST PROV,KWALE DIST,,-4.55,39.12,2/20/1972,1972,2,study skin,NA,Kwale Dist,Kwale Dist
98994,,F,NA,,SS,,,NA,"PARTRIDGE, W H",2-Oct-59,Emberizidae,Sporophila sp,Sporophila,,ARGENTINA MISIONES PROV  NA ARROYO URUGUA-I,MISIONES PROV,,,-25.9,-54.6,10/2/1959,1959,10,study skin,NA,,
111340,154,M,5954,,SS,,LT= 4 X 2,183,"WEHTJE, W",13-Dec-99,Icteridae,Quiscalus mexicanus,Quiscalus,ssp,UNITED STATES ARIZONA PIMA CO NA GREEN VALLEY,ARIZONA,PIMA CO,,31.8542511,-110.9937019,12/13/1999,1999,12,study skin,AZ,Pima Co,Pima County
840,97,F,NA,,SS,,,NA,"HORNUNG, J",5-Oct-15,Emberizidae,Melospiza melodia,Melospiza,cooperi,UNITED STATES CALIFORNIA LOS ANGELES CO NA NIGGER SLOUGH (=LGA DOMINGUEZ),CALIFORNIA,LOS ANGELES CO,,33.8,-118.2833333,10/5/1915,1915,10,study skin,CA,Los Angeles Co,Los Angeles County
117833,,U,NA,,SN,,,NA,"DE GANGE, A R",17-Jun-82,Alcidae,Aethia cristatella,Aethia,,UNITED STATES ALASKA BERING SEA NA ,ALASKA,BERING SEA,,51.75,174.03,6/17/1982,1982,6,complete skeleton,AK,Bering Sea,Bering Sea
120665,16-0294,M,8586,,SN,W=145,L+R T=4X2.5,145,CALIFORNIA WILDLIFE CENTER,7-Mar-16,Caprimulgidae,Phalaenoptilus nuttallii,Phalaenoptilus,ssp,UNITED STATES CALIFORNIA LOS ANGELES CO NA PASADENA,CALIFORNIA,LOS ANGELES CO,,34.17,-118.15,3/7/2016,2016,3,complete skeleton,CA,Los Angeles Co,Los Angeles County
65271,IF347,F,NA,Adult,SS,,OE,26,"WILLIAMS, A E",21-Mar-67,Pycnonotidae,Pycnonotus latirostris,Pycnonotus,eugenius,UGANDA KIGEZI DIST  NA IMPENETRABLE FOREST,KIGEZI DIST,,7500 F,-1,29.67,3/21/1967,1967,3,study skin,NA,,
13511,701,M,NA,,SS,,,NA,"RICHARDSON, C H",19-Jul-05,Emberizidae,Spizella passerina,Spizella,arizonae,UNITED STATES CALIFORNIA LOS ANGELES CO NA PINE FLAT,CALIFORNIA,LOS ANGELES CO,,34.25,-117.8333333,7/19/1905,1905,7,study skin,CA,Los Angeles Co,Los Angeles County
111814,,M,NA,,SS,W=325,"L+R TESTES= 6 X 2, PALE",354,"FEINER, A K",28-Dec-01,Tytonidae,Tyto alba,Tyto,pratincola,UNITED STATES CALIFORNIA FRESNO CO NA I-5,CALIFORNIA,FRESNO CO,,36.4676807,-120.4266357,12/28/2001,2001,12,study skin,CA,Fresno Co,Fresno County
95029,13907,F,NA,,SS,,,NA,"PARTRIDGE, W H",28-Jun-59,Emberizidae,Hemithraupis guira,Hemithraupis,fosteri,ARGENTINA MISIONES PROV  NA TOBUNAS,MISIONES PROV,,,-26.47,-53.9,6/28/1959,1959,6,study skin,NA,,
80200,3202,M,NA,Immature,SS,,,NA,"MARSDEN, H W",18-Aug-08,Scolopacidae,Heteroscelus incanus,Heteroscelus,,UNITED STATES CALIFORNIA MENDOCINO CO NA WESTPORT,CALIFORNIA,MENDOCINO CO,,39.6357136,-123.7593272,8/18/1908,1908,8,study skin,CA,Mendocino Co,Mendocino County
93126,,U,NA,,AL,,,NA,"SCHREIBER, R W",11-May-81,Picidae,Picoides mixtus,Picoides,mixtus,ARGENTINA CORRIENTES PROV ESQUINA DEPT NA MALVINAS VIC,CORRIENTES PROV,ESQUINA DEPT,,-29.62,-58.98,5/11/1981,1981,5,entire specimen preserved in alcohol,NA,Esquina Dept,Esquina Dept
